-50 0.000000
-49 0.000000
-48 0.000000
-47 0.000000
-46 0.000000
-45 0.000000
-44 0.000000
-43 0.000000
-42 0.000000
-41 0.000000
-40 0.000000
-39 0.000000
-38 0.000000
-37 0.000000
-36 0.000000
-35 0.000648
-34 0.000000
-33 0.000000
-32 0.000000
-31 0.000356
-30 0.000328
-29 0.000000
-28 0.000000
-27 0.000404
-26 0.000540
-25 0.000000
-24 0.000208
-23 0.001504
-22 0.001388
-21 0.002800
-20 0.003352
-19 0.002432
-18 0.014208
-17 0.027760
-16 0.050072
-15 0.088908
-14 0.164768
-13 0.301820
-12 0.491068
-11 0.782796
-10 1.060052
-9 1.763640
-8 2.421128
-7 3.409960
-6 4.369976
-5 5.397604
-4 6.385392
-3 7.527080
-2 7.992884
-1 8.434148
0 8.297644
1 7.855652
2 7.114660
3 6.301588
4 5.373856
5 4.373212
6 3.232820
7 2.326360
8 1.627624
9 1.054856
10 0.660464
11 0.460380
12 0.281000
13 0.166288
14 0.070196
15 0.034752
16 0.024304
17 0.013184
18 0.012832
19 0.006888
20 0.005728
21 0.003796
22 0.002188
23 0.002300
24 0.000000
25 0.000000
26 0.000000
27 0.000204
28 0.000000
29 0.000000
30 0.000000
31 0.000000
32 0.000000
33 0.000000
34 0.000000
35 0.000000
36 0.000000
37 0.000000
38 0.000000
39 0.000000
40 0.000000
41 0.000000
42 0.000000
43 0.000000
44 0.000000
45 0.000000
46 0.000000
47 0.000000
48 0.000000
49 0.000000
