1 0.001889
2 0.002412
3 0.003073
4 0.004092
5 0.004981
6 0.005918
7 0.007167
8 0.008288
9 0.009598
10 0.010797
11 0.012239
12 0.013712
13 0.014784
14 0.016137
15 0.016304
16 0.017177
17 0.017650
18 0.018928
19 0.018702
20 0.019811
21 0.020256
22 0.020418
23 0.020739
24 0.021080
25 0.021062
26 0.020977
27 0.021046
28 0.020784
29 0.021391
30 0.020699
31 0.020945
32 0.020429
33 0.020025
34 0.019994
35 0.019645
36 0.019494
37 0.019020
38 0.018612
39 0.018256
40 0.017676
41 0.017576
42 0.017086
43 0.016053
44 0.015976
45 0.015547
46 0.014817
47 0.014411
48 0.013839
49 0.013666
50 0.013399
51 0.011800
52 0.011364
53 0.010802
54 0.010554
55 0.009853
56 0.009298
57 0.008848
58 0.008217
59 0.007897
60 0.007525
61 0.006492
62 0.006257
63 0.005820
64 0.005253
65 0.004909
66 0.004702
67 0.004473
68 0.004195
69 0.003751
70 0.003466
71 0.003259
72 0.003155
73 0.002765
74 0.002727
75 0.002546
76 0.002374
77 0.001998
78 0.002070
79 0.001831
80 0.001736
81 0.001620
82 0.001555
83 0.001236
84 0.001387
85 0.001266
86 0.001123
87 0.001006
88 0.000924
89 0.000792
90 0.000802
91 0.000723
92 0.000581
93 0.000643
94 0.000532
95 0.000504
96 0.000529
97 0.000393
98 0.000373
99 0.000384
100 0.000347
